time,num_people,distance_dist
1601404544.7984295,2,"[0.04096310366388491, 0.04096310366388491]"
1601404561.5629175,4,"[0.007740023837238351, 0.024452549352250753, 0.024452549352250753, 0.007740023837238351]"
1601404576.573873,5,"[0.008121445851349003, 0.04100402217847798, 0.024014902891803063, 0.0654489908443271, 0.008121445851349003]"
1601404591.585438,3,"[0.06744921619540672, 0.04065091870227648, 0.04065091870227648]"
1601404606.593341,3,"[0.005955607899250661, 0.03501295355988686, 0.005955607899250661]"
1601404621.598369,2,"[0.04085774652454763, 0.04085774652454763]"
1601404636.609323,4,"[0.040524752639983036, 0.029445255261369933, 0.029445255261369933, 0.08565081010842922]"
1601404651.6158097,5,"[0.007559738337032675, 0.007559738337032675, 0.0033010018229633984, 0.026363186093864323, 0.0033010018229633984]"
1601404666.6257896,5,"[0.0036751916083101613, 0.004393669285367445, 0.0036751916083101613, 0.024008616502647667, 0.024008616502647667]"
1601404681.6279826,2,"[0.04155371801215655, 0.04155371801215655]"
1601404696.6318886,2,"[0.040421112202470355, 0.040421112202470355]"
1601404711.64131,2,"[0.04084294027926319, 0.04084294027926319]"
1601404726.6531968,1,[0.0]
1601404741.664733,2,"[0.041316315070143335, 0.041316315070143335]"
1601404756.6716747,3,"[0.04140572122830136, 0.024206239225805778, 0.024206239225805778]"
1601404771.6826158,2,"[0.04089532013021565, 0.04089532013021565]"
1601404786.6828873,4,"[0.0803834286715262, 0.005707977600070251, 0.03535966260201404, 0.005707977600070251]"
1601404801.6946115,3,"[0.04090290748649834, 0.10984654326799473, 0.04090290748649834]"
1601404816.705324,3,"[0.032413219671279525, 0.009791724945819024, 0.009791724945819024]"
1601404831.7133179,2,"[0.04203369498959762, 0.04203369498959762]"
1601404846.7216349,2,"[0.041401272466202996, 0.041401272466202996]"
1601404863.272043,2,"[0.045397012890742515, 0.045397012890742515]"
1601404878.2803965,2,"[0.041213962489720105, 0.041213962489720105]"
1601404893.2818813,4,"[0.04147460850028188, 0.02357069754355926, 0.08730838618370704, 0.02357069754355926]"
1601404908.2852666,3,"[0.02380129232885732, 0.04176950465497563, 0.02380129232885732]"
1601404923.2876763,3,"[0.041707385575885804, 0.023387069031623135, 0.023387069031623135]"
1601404938.2997673,2,"[0.042332245525327265, 0.042332245525327265]"
1601404953.311908,2,"[0.04040956501715421, 0.04040956501715421]"
1601404968.3238006,3,"[0.040837642050183594, 0.023469062292041678, 0.023469062292041678]"
1601404983.335455,2,"[0.04041153311481687, 0.04041153311481687]"
1601404998.3473577,3,"[0.040260468693363805, 0.023643005338875624, 0.023643005338875624]"
1601405013.359,2,"[0.02379617643622371, 0.02379617643622371]"
1601405028.3703806,3,"[0.0392465644121153, 0.0392465644121153, 0.041068803913862986]"
1601405043.3818076,2,"[0.02345021634947534, 0.02345021634947534]"
1601405058.3937137,1,[0.0]
1601405073.3974864,3,"[0.035513644295678604, 0.005966371801485588, 0.005966371801485588]"
1601405088.4094884,3,"[0.03504628972060799, 0.006543985101021671, 0.006543985101021671]"
1601405103.4194653,4,"[0.023600942432974153, 0.00637617531732696, 0.011104328116126876, 0.00637617531732696]"
1601405118.4306254,5,"[0.007691951928370679, 0.007691951928370679, 0.014652631330827287, 0.014652631330827287, 0.02360648239765645]"
1601405133.4425552,10,"[0.0208400492484088, 0.023643703117586564, 0.005897465209034861, 0.015560761185432833, 0.015560761185432833, 0.01736312840304608, 0.0013001045686619917, 0.005897465209034861, 0.0013001045686619917, 0.006171310705169752]"
1601405148.4535134,5,"[0.042155804161057624, 0.04437585993575201, 0.00999256176271034, 0.00999256176271034, 0.013289977170870184]"
1601405164.8938336,3,"[0.04251792263688554, 0.02291210967699405, 0.02291210967699405]"
1601405179.905791,4,"[0.010454411793960809, 0.03133232836434304, 0.07934279185386361, 0.010454411793960809]"
1601405194.9175367,3,"[0.04189360768472526, 0.022361127309109913, 0.022361127309109913]"
1601405209.9295816,3,"[0.005967459783991266, 0.005967459783991266, 0.04570630289096392]"
1601405224.941254,3,"[0.006529794465018459, 0.03599876649104518, 0.006529794465018459]"
1601405239.953353,4,"[0.006328032681597065, 0.026727740153030522, 0.006328032681597065, 0.026727740153030522]"
1601405254.9654114,3,"[0.006282294636443513, 0.006282294636443513, 0.05892266865362283]"
1601405269.9775543,6,"[0.006490389442725799, 0.011877241373088246, 0.03245734716233284, 0.02380321523056048, 0.006490389442725799, 0.03245734716233284]"
1601405284.9893193,2,"[0.00619931499828152, 0.00619931499828152]"
1601405299.9907627,2,"[0.0065023188390716845, 0.0065023188390716845]"
